Region,Basin,SubBasin,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
Wet Tropics,Mossman,NA,Dryland Agriculture,2021,465.4,44.5,9.6,-2.1,-4.6,2021 to 2015
Wet Tropics,Mulgrave,NA,Dryland Agriculture,1999,1333.4,173.2,13,0,0,1999 to 1999
Wet Tropics,Mulgrave,NA,Dryland Agriculture,2009,1333.7,165.8,12.4,-7.4,-4.3,2009 to 1999
Wet Tropics,Mulgrave,NA,Dryland Agriculture,2015,1333.4,161.8,12.1,-4,-2.4,2015 to 2009
Wet Tropics,Mulgrave,NA,Dryland Agriculture,2021,1319.7,154.8,11.7,-7,-4.3,2021 to 2015
Wet Tropics,Murray,NA,Dryland Agriculture,1999,1539.4,218.7,14.2,0,0,1999 to 1999
Wet Tropics,Murray,NA,Dryland Agriculture,2009,1537.4,235,15.3,16.3,7.5,2009 to 1999
Wet Tropics,Murray,NA,Dryland Agriculture,2015,1538,236.9,15.4,1.9,0.8,2015 to 2009
Wet Tropics,Murray,NA,Dryland Agriculture,2021,1524.4,245.7,16.1,8.7,3.7,2021 to 2015
Wet Tropics,Russell,NA,Dryland Agriculture,1999,718.7,115.1,16,0,0,1999 to 1999
Wet Tropics,Russell,NA,Dryland Agriculture,2009,695.9,105.3,15.1,-9.7,-8.5,2009 to 1999
Wet Tropics,Russell,NA,Dryland Agriculture,2015,696.3,99.7,14.3,-5.7,-5.4,2015 to 2009
Wet Tropics,Russell,NA,Dryland Agriculture,2021,670.6,96.2,14.3,-3.5,-3.5,2021 to 2015
Wet Tropics,Tully,NA,Dryland Agriculture,1999,1718.8,215.7,12.5,0,0,1999 to 1999
Wet Tropics,Tully,NA,Dryland Agriculture,2009,1712.6,222.4,13,6.7,3.1,2009 to 1999
Wet Tropics,Tully,NA,Dryland Agriculture,2015,1713.5,209.7,12.2,-12.7,-5.7,2015 to 2009
Wet Tropics,Tully,NA,Dryland Agriculture,2021,1684.7,214.4,12.7,4.7,2.2,2021 to 2015
Burdekin,Burdekin,NA,Forestry,1999,133517.7,1190.7,0.9,0,0,1999 to 1999
Burdekin,Burdekin,NA,Forestry,2009,134012.4,825.4,0.6,-365.3,-30.7,2009 to 1999
Burdekin,Burdekin,NA,Forestry,2016,133233.2,755.2,0.6,-70.2,-8.5,2016 to 2009
Burdekin,Burdekin,NA,Forestry,2021,130114.9,756.1,0.6,0.8,0.1,2021 to 2016
Burdekin,Haughton,NA,Forestry,1999,4159.6,32.6,0.8,0,0,1999 to 1999
Burdekin,Haughton,NA,Forestry,2009,4159.8,32.6,0.8,0,0,2009 to 1999
Burdekin,Haughton,NA,Forestry,2016,4157.3,32.6,0.8,0,0,2016 to 2009
Burdekin,Haughton,NA,Forestry,2021,4068.8,32.6,0.8,0,0,2021 to 2016
Dry Tropics,Black,NA,Forestry,1999,1157.6,206.8,17.9,0,0,1999 to 1999
Dry Tropics,Black,NA,Forestry,2009,1156.8,78.1,6.8,-128.7,-62.2,2009 to 1999
Dry Tropics,Black,NA,Forestry,2016,1157.4,78,6.7,-0.1,-0.1,2016 to 2009
Dry Tropics,Black,NA,Forestry,2021,1145.9,78,6.8,-0,-0,2021 to 2016
Dry Tropics,Ross,NA,Forestry,1999,1776.5,45,2.5,0,0,1999 to 1999
Dry Tropics,Ross,NA,Forestry,2009,1780.1,45,2.5,0,0,2009 to 1999
Dry Tropics,Ross,NA,Forestry,2016,1777,45,2.5,0,0,2016 to 2009
Dry Tropics,Ross,NA,Forestry,2021,1756.2,45,2.6,-0,-0,2021 to 2016
Mackay Whitsunday Isaac,Don,NA,Forestry,1999,3922.2,0.2,0,0,0,1999 to 1999
Mackay Whitsunday Isaac,Don,NA,Forestry,2009,3874.2,0.2,0,0,0,2009 to 1999
Mackay Whitsunday Isaac,Don,NA,Forestry,2016,3867.1,0.2,0,0,0,2016 to 2009
Mackay Whitsunday Isaac,Don,NA,Forestry,2021,3752.8,0.2,0,0,0,2021 to 2016
Mackay Whitsunday Isaac,O'Connell,NA,Forestry,1999,2445.9,197.4,8.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,O'Connell,NA,Forestry,2009,2445.9,167.4,6.8,-30,-15.2,2009 to 1999
Mackay Whitsunday Isaac,O'Connell,NA,Forestry,2016,2445.9,158.4,6.5,-9,-5.4,2016 to 2009
Mackay Whitsunday Isaac,O'Connell,NA,Forestry,2021,2446,149.1,6.1,-9.3,-5.9,2021 to 2016
Mackay Whitsunday Isaac,Pioneer,NA,Forestry,1999,1571.1,365.2,23.2,0,0,1999 to 1999
Mackay Whitsunday Isaac,Pioneer,NA,Forestry,2009,1571.1,373,23.7,7.8,2.1,2009 to 1999
Mackay Whitsunday Isaac,Pioneer,NA,Forestry,2016,1571.1,297.1,18.9,-75.9,-20.4,2016 to 2009
Mackay Whitsunday Isaac,Pioneer,NA,Forestry,2021,1574.7,297.7,18.9,0.6,0.2,2021 to 2016
Mackay Whitsunday Isaac,Plane,NA,Forestry,1999,2559.5,121.5,4.7,0,0,1999 to 1999
Mackay Whitsunday Isaac,Plane,NA,Forestry,2009,2559.5,107.7,4.2,-13.9,-11.4,2009 to 1999
Mackay Whitsunday Isaac,Plane,NA,Forestry,2016,2559.5,146.4,5.7,38.7,36,2016 to 2009
Mackay Whitsunday Isaac,Plane,NA,Forestry,2021,2569.8,148.4,5.8,1.9,1.3,2021 to 2016
Mackay Whitsunday Isaac,Proserpine,NA,Forestry,1999,2772.1,251.9,9.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,Proserpine,NA,Forestry,2009,2772.1,210.7,7.6,-41.2,-16.4,2009 to 1999
Mackay Whitsunday Isaac,Proserpine,NA,Forestry,2016,2772.1,134.7,4.9,-76,-36.1,2016 to 2009
Mackay Whitsunday Isaac,Proserpine,NA,Forestry,2021,2771.6,134.7,4.9,0,0,2021 to 2016
Wet Tropics,Barron,NA,Forestry,1999,2381.9,771.1,32.4,0,0,1999 to 1999
Wet Tropics,Barron,NA,Forestry,2009,2368.8,360.7,15.2,-410.4,-53.2,2009 to 1999
